Process id,Burst Time,Arrival Time,Priority
1,81,59,1
2,66,120,4
3,23,93,9
4,45,15,1
5,60,86,9
6,86,68,4
7,32,14,6
8,61,64,10
9,29,2,0
10,51,114,1
11,38,31,3
12,47,25,6
13,34,54,10
14,40,57,4
15,47,59,5
16,88,47,3
17,33,19,2
18,85,120,0
19,48,26,9
20,78,58,10
21,39,118,3
22,25,120,0
23,76,25,9
24,40,115,0
25,24,87,6
26,66,100,4
27,17,115,10
28,33,70,10
29,67,48,4
30,33,56,1
31,85,43,3
32,85,38,1
33,67,80,6
34,70,88,8
35,88,48,7
36,30,102,8
37,84,94,0
38,54,40,5
39,35,96,1
40,95,65,2
41,44,76,7
42,84,1,4
43,75,92,6
44,34,88,5
45,29,104,4
46,64,14,2
47,17,71,4
48,25,82,0
49,97,42,9
50,44,85,4
51,57,24,6
52,74,71,8
53,15,67,6
54,71,81,8
55,54,4,5
56,27,38,7
57,33,32,9
58,65,42,6
59,86,110,5
60,41,101,3
61,94,62,0
62,40,104,8
63,18,43,0
64,62,92,9
65,63,81,8
66,24,122,9
67,92,14,5
68,23,23,2
69,51,90,1
70,23,66,7
71,69,110,7
72,52,28,1
73,25,69,5
74,36,29,3
75,85,25,2
76,99,33,2
77,15,16,5
78,83,97,7
79,99,113,0
80,31,15,5
81,77,100,4
82,98,44,3
83,38,19,3
84,49,3,10
85,23,114,9
86,75,80,5
87,96,62,4
88,17,40,5
89,30,35,3
90,45,120,3
91,57,111,4
92,26,13,9
93,83,110,3
94,54,94,9
95,90,24,9
96,86,46,10
97,45,90,3
98,22,40,7
99,22,102,4
100,52,116,1
101,24,122,5
102,85,106,3
103,74,80,5
104,99,100,5
105,29,79,2
106,88,92,8
107,71,90,8
108,100,81,0
109,37,104,3
110,96,111,8
111,68,111,9
112,61,123,1
113,46,96,4
114,37,102,4
115,27,1,0
116,94,81,0
117,51,114,7
118,52,114,6
119,19,72,2
120,63,5,1
121,75,57,4
122,16,60,1
123,26,19,5
124,36,47,10
125,92,105,4
126,39,45,0
127,58,100,9
128,33,92,8
129,33,83,4
130,24,72,4
131,54,111,10
132,54,52,5
133,93,52,6
134,73,88,0
135,82,105,10
136,22,93,1
137,16,32,3
138,66,112,1
139,27,23,4
140,47,23,3
141,43,93,8
142,20,94,10
143,79,88,9
144,80,100,9
145,56,14,10
146,39,68,0
147,17,23,4
148,100,21,7
149,68,21,8
150,22,80,4
151,21,109,7
152,39,67,10
153,95,51,10
154,61,62,5
155,86,89,8
156,74,28,9
157,31,68,3
158,42,15,5
159,46,24,0
160,39,74,10
161,88,63,7
162,44,33,5
163,13,21,6
164,13,14,6
165,88,5,3
166,34,46,0
167,94,43,7
168,21,51,10
169,56,50,9
170,70,58,5
171,59,2,9
172,69,86,4
173,46,39,6
174,55,112,9
175,93,22,6
176,55,31,0
177,35,68,8
178,39,23,9
179,91,67,6
180,64,19,2
181,88,44,0
182,85,123,7
183,92,108,6
184,24,22,10
185,37,62,10
186,67,31,8
187,90,123,6
188,35,63,4
189,94,14,9
190,11,85,1
191,63,78,0
192,100,17,4
193,77,56,0
194,37,115,10
195,72,80,6
196,18,72,7
197,67,36,6
198,73,96,4
199,80,42,7
200,76,43,2
