Process id,Burst Time,Arrival Time,Priority
1,23,0,3
2,34,5,1
3,34,3,3
4,12,6,4
5,8,8,2
6,10,4,5
7,31,1,1
8,23,2,4
9,9,3,5
10,16,6,1
11,1,5,2
12,12,8,3
13,15,9,9
14,6,6,1
15,7,2,5
16,9,3,4
17,11,5,8
18,7,8,9
19,4,9,6
20,15,5,2
21,20,6,4
22,14,3,5
23,7,2,6
24,24,1,2
25,22,5,5
26,16,8,3
27,33,5,8
28,12,3,7
29,22,6,2
30,19,9,9
31,34,5,5
32,40,9,4
33,12,1,8
34,15,3,3
35,7,5,6
36,14,3,4
37,16,5,6
38,28,2,8
39,35,6,9
40,16,8,7
41,20,2,4
42,15,3,2
43,4,2,3
44,6,3,1
45,23,5,5
46,16,8,7
47,11,2,8
48,20,5,9
49,30,2,2
50,3,5,4
